cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.974265600250908,District,district,train,0,alameda_resstock-amy2018-2021-release-1-534588
average_daily_peak,1.3373893552014329,District,district,train,0,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,1.3279297790612974,District,district,train,0,alameda_resstock-amy2018-2021-release-1-534588
peak_demand,1.0670677553309738,District,district,train,0,alameda_resstock-amy2018-2021-release-1-534588
ramping,2.315489016580583,District,district,train,0,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.6002800166942823,District,district,train,0,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,1.3279297790612974,resstock-amy2018-2021-release-1-534588,building,train,0,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.6002800166942823,resstock-amy2018-2021-release-1-534588,building,train,0,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,0,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,0,alameda_resstock-amy2018-2021-release-1-534588
1 - load_factor,1.0013542876641772,District,district,train,1,alameda_resstock-amy2018-2021-release-1-534588
average_daily_peak,1.0373029485535203,District,district,train,1,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.9583342863984358,District,district,train,1,alameda_resstock-amy2018-2021-release-1-534588
peak_demand,1.307802657105981,District,district,train,1,alameda_resstock-amy2018-2021-release-1-534588
ramping,1.3205023886454923,District,district,train,1,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.330817813647348,District,district,train,1,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.9583342863984358,resstock-amy2018-2021-release-1-534588,building,train,1,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.330817813647348,resstock-amy2018-2021-release-1-534588,building,train,1,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,1,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,1,alameda_resstock-amy2018-2021-release-1-534588
1 - load_factor,0.9845447003386668,District,district,train,2,alameda_resstock-amy2018-2021-release-1-534588
average_daily_peak,1.0075532853647515,District,district,train,2,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.8830634976949532,District,district,train,2,alameda_resstock-amy2018-2021-release-1-534588
peak_demand,1.0458585565585838,District,district,train,2,alameda_resstock-amy2018-2021-release-1-534588
ramping,1.1570278456682517,District,district,train,2,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3766940197126198,District,district,train,2,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.8830634976949532,resstock-amy2018-2021-release-1-534588,building,train,2,alameda_resstock-amy2018-2021-release-1-534588
