simulation_id,mode,episode,start_timestamp,end_timestamp
alameda_resstock-amy2018-2021-release-1-538198,train,0,2024-03-05 10:14:34.418025,2024-03-05 10:14:35.480167
alameda_resstock-amy2018-2021-release-1-538198,train,1,2024-03-05 10:14:35.692534,2024-03-05 10:14:56.609689
alameda_resstock-amy2018-2021-release-1-538198,train,2,2024-03-05 10:14:56.898976,2024-03-05 10:15:17.648556
alameda_resstock-amy2018-2021-release-1-538198,train,3,2024-03-05 10:15:17.993087,2024-03-05 10:15:38.686220
alameda_resstock-amy2018-2021-release-1-538198,train,4,2024-03-05 10:15:39.095666,2024-03-05 10:15:59.727008
alameda_resstock-amy2018-2021-release-1-538198,train,5,2024-03-05 10:16:00.202322,2024-03-05 10:16:21.676237
alameda_resstock-amy2018-2021-release-1-538198,train,6,2024-03-05 10:16:22.215724,2024-03-05 10:16:43.188393
alameda_resstock-amy2018-2021-release-1-538198,train,7,2024-03-05 10:16:43.780725,2024-03-05 10:17:04.642358
alameda_resstock-amy2018-2021-release-1-538198,train,8,2024-03-05 10:17:05.293703,2024-03-05 10:17:26.438510
alameda_resstock-amy2018-2021-release-1-538198,train,9,2024-03-05 10:17:27.259517,2024-03-05 10:17:48.176855
alameda_resstock-amy2018-2021-release-1-538198,train,10,2024-03-05 10:17:48.974944,2024-03-05 10:18:09.794502
