simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-182758,train,0,2024-03-08 14:08:05.651167,2024-03-08 14:08:12.264653
travis_resstock-amy2018-2021-release-1-182758,train,1,2024-03-08 14:08:13.207360,2024-03-08 14:10:23.060758
travis_resstock-amy2018-2021-release-1-182758,train,2,2024-03-08 14:10:24.253935,2024-03-08 14:12:33.637387
travis_resstock-amy2018-2021-release-1-182758,train,3,2024-03-08 14:12:35.057146,2024-03-08 14:14:44.552320
travis_resstock-amy2018-2021-release-1-182758,train,4,2024-03-08 14:14:46.208150,2024-03-08 14:16:55.695305
travis_resstock-amy2018-2021-release-1-182758,train,5,2024-03-08 14:16:57.573560,2024-03-08 14:19:07.040453
travis_resstock-amy2018-2021-release-1-182758,train,6,2024-03-08 14:19:09.123564,2024-03-08 14:21:18.709902
travis_resstock-amy2018-2021-release-1-182758,train,7,2024-03-08 14:21:21.023694,2024-03-08 14:23:30.306445
travis_resstock-amy2018-2021-release-1-182758,train,8,2024-03-08 14:23:32.854982,2024-03-08 14:25:42.035783
travis_resstock-amy2018-2021-release-1-182758,train,9,2024-03-08 14:25:44.793577,2024-03-08 14:27:53.932115
travis_resstock-amy2018-2021-release-1-182758,train,10,2024-03-08 14:27:56.905542,2024-03-08 14:30:06.108758
travis_resstock-amy2018-2021-release-1-182758,train,11,2024-03-08 14:30:09.344824,2024-03-08 14:32:18.567181
travis_resstock-amy2018-2021-release-1-182758,train,12,2024-03-08 14:32:22.026475,2024-03-08 14:34:31.203137
travis_resstock-amy2018-2021-release-1-182758,train,13,2024-03-08 14:34:34.855512,2024-03-08 14:36:44.086456
travis_resstock-amy2018-2021-release-1-182758,train,14,2024-03-08 14:36:47.961324,2024-03-08 14:38:52.765500
travis_resstock-amy2018-2021-release-1-182758,test,0,2024-03-08 14:38:57.216485,2024-03-08 14:39:11.902520
