cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.988041799070899,District,district,train,0,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,1.1279485533693323,District,district,train,0,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,0,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,0,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,1.1493801096193967,District,district,train,0,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.1164370373862256,District,district,train,0,travis_resstock-amy2018-2021-release-1-191067
ramping,1.840099687179044,District,district,train,0,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.207621942854961,District,district,train,0,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,1.1493801096193967,resstock-amy2018-2021-release-1-191067,building,train,0,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.207621942854961,resstock-amy2018-2021-release-1-191067,building,train,0,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,0,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,0,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.9942689218931604,District,district,train,1,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.980014521542853,District,district,train,1,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,1,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,1,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.9346461490406314,District,district,train,1,travis_resstock-amy2018-2021-release-1-191067
peak_demand,0.9676440758408652,District,district,train,1,travis_resstock-amy2018-2021-release-1-191067
ramping,1.0809323054369355,District,district,train,1,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0745147020520314,District,district,train,1,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.9346461490406314,resstock-amy2018-2021-release-1-191067,building,train,1,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0745147020520314,resstock-amy2018-2021-release-1-191067,building,train,1,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,1,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,1,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.9938145577191876,District,district,train,2,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.9507536845590622,District,district,train,2,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,2,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,2,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8557776432356247,District,district,train,2,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.0,District,district,train,2,travis_resstock-amy2018-2021-release-1-191067
ramping,1.0214886543423178,District,district,train,2,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0861798155385634,District,district,train,2,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8557776432356247,resstock-amy2018-2021-release-1-191067,building,train,2,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0861798155385634,resstock-amy2018-2021-release-1-191067,building,train,2,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,2,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,2,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.993341458731086,District,district,train,3,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.9472913574033968,District,district,train,3,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,3,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,3,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8471584731670871,District,district,train,3,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.0,District,district,train,3,travis_resstock-amy2018-2021-release-1-191067
ramping,1.0178403319812888,District,district,train,3,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0855976669000114,District,district,train,3,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8471584731670871,resstock-amy2018-2021-release-1-191067,building,train,3,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0855976669000114,resstock-amy2018-2021-release-1-191067,building,train,3,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,3,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,3,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.9935582701136058,District,district,train,4,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.9426868806167908,District,district,train,4,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,4,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,4,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8476688416547727,District,district,train,4,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.0,District,district,train,4,travis_resstock-amy2018-2021-release-1-191067
ramping,1.01661632801502,District,district,train,4,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.085903878602142,District,district,train,4,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8476688416547727,resstock-amy2018-2021-release-1-191067,building,train,4,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.085903878602142,resstock-amy2018-2021-release-1-191067,building,train,4,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,4,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,4,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.994128974026655,District,district,train,5,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.9448040048926514,District,district,train,5,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,5,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,5,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8488270879143072,District,district,train,5,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.0,District,district,train,5,travis_resstock-amy2018-2021-release-1-191067
ramping,1.0213474244428258,District,district,train,5,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0874612530911274,District,district,train,5,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8488270879143072,resstock-amy2018-2021-release-1-191067,building,train,5,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0874612530911274,resstock-amy2018-2021-release-1-191067,building,train,5,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,5,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,5,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.9971475146535824,District,district,train,6,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.9458952879830098,District,district,train,6,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,6,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,6,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8511747815153786,District,district,train,6,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.0,District,district,train,6,travis_resstock-amy2018-2021-release-1-191067
ramping,1.0411910095791903,District,district,train,6,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.088185401274574,District,district,train,6,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8511747815153786,resstock-amy2018-2021-release-1-191067,building,train,6,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.088185401274574,resstock-amy2018-2021-release-1-191067,building,train,6,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,6,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,6,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.9934146204448558,District,district,train,7,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.952331476701704,District,district,train,7,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,7,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,7,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8544221073350589,District,district,train,7,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.0,District,district,train,7,travis_resstock-amy2018-2021-release-1-191067
ramping,1.052409888739873,District,district,train,7,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.08750624691941,District,district,train,7,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8544221073350589,resstock-amy2018-2021-release-1-191067,building,train,7,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.08750624691941,resstock-amy2018-2021-release-1-191067,building,train,7,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,7,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,7,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.995609398857586,District,district,train,8,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.9502070919212728,District,district,train,8,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,8,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,8,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8532805356757898,District,district,train,8,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.0,District,district,train,8,travis_resstock-amy2018-2021-release-1-191067
ramping,1.0470424018331466,District,district,train,8,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0876289565520991,District,district,train,8,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8532805356757898,resstock-amy2018-2021-release-1-191067,building,train,8,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0876289565520991,resstock-amy2018-2021-release-1-191067,building,train,8,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,8,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,8,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.9940867709673068,District,district,train,9,travis_resstock-amy2018-2021-release-1-191067
average_daily_peak,0.9415757408859654,District,district,train,9,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,District,district,train,9,travis_resstock-amy2018-2021-release-1-191067
cost,,District,district,train,9,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8520560836523362,District,district,train,9,travis_resstock-amy2018-2021-release-1-191067
peak_demand,1.0,District,district,train,9,travis_resstock-amy2018-2021-release-1-191067
ramping,1.02902685117759,District,district,train,9,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0867955010909678,District,district,train,9,travis_resstock-amy2018-2021-release-1-191067
electricity_consumption,0.8520560836523362,resstock-amy2018-2021-release-1-191067,building,train,9,travis_resstock-amy2018-2021-release-1-191067
zero_net_energy,1.0867955010909678,resstock-amy2018-2021-release-1-191067,building,train,9,travis_resstock-amy2018-2021-release-1-191067
carbon_emissions,,resstock-amy2018-2021-release-1-191067,building,train,9,travis_resstock-amy2018-2021-release-1-191067
cost,,resstock-amy2018-2021-release-1-191067,building,train,9,travis_resstock-amy2018-2021-release-1-191067
1 - load_factor,0.9939085828699693,District,district,train,10,travis_resstock-amy2018-2021-release-1-191067
